"Arial", "Arimo"
"Arial Black", "Archivo Black"
"Calibri", "Carlito"
"Cambria", "Caladea"
"Candara", "Quattrocento Sans"
"Century Gothic", "Questrial"
"Comic Sans", "Comic Neue"
"Comic Sans MS", "Comic Neue"
"Consolas", "Inconsolata"
"Constantia", "Crimson Text"
"Corbel", "Amble"
"Courier New" , "Cousine"
"Franklin Gothic", "Libre Franklin"
"Frutiger", "Hind"
"Garamond", "EB Garamond"
"Georgia", "Gelasio"
"Gill Sans", "Cabin"
"Impact", "Oswald"
"Myriad", "Noto Sans"
"Myriad Pro", "Noto Sans"
"Perpetua", "Lustria"
"Segoe UI", "Selawik"
"Trebuchet MS", "Source Sans Pro"
"Times New Roman", "Tinos"
"Verdana", "DejaVu Sans"